日期,类型,金额,一级分类,二级分类,账户1,账户2,备注
2022年02月06日 14:55:18,支出,26,餐饮,零食,银行卡,,星巴克咖啡
2022年02月06日 15:00:00,支出,40,应用软件,,银行卡,,icost
2022年02月07日 09:15:20,支出,2,餐饮,三餐,银行卡,,
2022年02月08日 19:55:03,支出,13,餐饮,三餐,银行卡,,
2022年02月08日 19:57:30,支出,4.9,餐饮,零食,银行卡,,咖啡
2022年02月08日 20:44:39,支出,11,餐饮,三餐,银行卡,,
2022年02月08日 22:35:20,支出,320,日用,,银行卡,,
2022年02月09日 14:03:07,支出,48,餐饮,三餐,银行卡,,
2022年02月09日 21:32:06,支出,15.9,烟酒,,银行卡,,
2022年02月10日 08:58:14,支出,17.1,餐饮,三餐,银行卡,,
2022年02月10日 19:02:59,收入,16909.99,工资,,银行卡,,
2022年02月11日 15:08:02,支出,7,餐饮,零食,银行卡,,
2022年02月12日 18:01:20,支出,6,餐饮,零食,银行卡,,
2022年02月12日 21:33:14,支出,41.9,餐饮,三餐,银行卡,,
2022年02月13日 18:28:45,支出,35.39,交通,打车,银行卡,,
2022年02月14日 09:05:59,支出,6,餐饮,三餐,银行卡,,
2022年02月14日 10:12:47,支出,17.07,交通,打车,银行卡,,
2022年02月14日 12:05:02,支出,51,人情,,银行卡,,
2022年02月14日 18:45:55,支出,12,餐饮,三餐,银行卡,,
2022年02月14日 22:20:56,支出,13.9,餐饮,三餐,银行卡,,
2022年02月15日 14:21:18,支出,5.5,餐饮,零食,银行卡,,
2022年02月17日 15:39:52,支出,35,餐饮,三餐,银行卡,,
2022年02月19日 12:53:01,支出,28.49,餐饮,三餐,银行卡,,
2022年02月19日 16:16:32,支出,579,数码,,银行卡,,鼠标
2022年02月19日 22:58:45,支出,43.2,餐饮,零食,银行卡,,
2022年02月20日 12:36:23,支出,41,餐饮,三餐,银行卡,,
2022年02月20日 13:23:35,支出,39.9,日用,,银行卡,,雨伞
2022年02月20日 16:24:21,支出,100,交通,地铁,银行卡,,
2022年02月20日 16:28:21,支出,28.4,餐饮,蔬菜,银行卡,,
2022年02月20日 16:42:32,支出,8,餐饮,零食,银行卡,,
2022年02月21日 17:57:05,支出,124,购物,,银行卡,,
2022年02月22日 17:17:02,支出,23,餐饮,三餐,银行卡,,
2022年02月23日 14:36:58,支出,10,医疗,,银行卡,,核算检查
2022年02月23日 15:23:51,支出,17.3,餐饮,水果,银行卡,,橘子
2022年02月23日 19:23:29,支出,905.4,育儿,,银行卡,,营养品
2022年02月23日 19:26:14,支出,26.18,应用软件,,银行卡,,游戏
2022年02月24日 11:56:27,支出,15.7,餐饮,蔬菜,银行卡,,买菜
2022年02月24日 17:22:23,支出,2.5,餐饮,蔬菜,银行卡,,
2022年02月24日 20:09:22,支出,3.5,餐饮,零食,银行卡,,
2022年02月25日 10:06:13,支出,99,应用软件,,银行卡,,jd会员
2022年02月25日 10:06:27,支出,338,日用,,银行卡,,空气净化器滤芯
2022年02月25日 15:12:32,支出,7,餐饮,零食,银行卡,,
2022年02月25日 15:12:38,支出,10,医疗,,银行卡,,
2022年02月26日 20:40:09,支出,33,餐饮,三餐,银行卡,,
2022年02月26日 21:27:04,支出,526,日用,,银行卡,,dha
2022年02月26日 21:37:57,支出,51.23,日用,,银行卡,,泡腾片
2022年02月26日 21:41:38,支出,14.8,餐饮,零食,银行卡,,橙汁
2022年02月27日 09:32:10,支出,11.9,餐饮,三餐,银行卡,,
2022年02月27日 18:28:50,支出,17,餐饮,三餐,银行卡,,
2022年02月28日 14:45:02,待报销,498,应用软件,,银行卡,,office
2022年02月28日 16:05:38,支出,19.4,餐饮,零食,银行卡,,
2022年02月28日 19:50:44,支出,28,餐饮,三餐,银行卡,,
